,return_time,Departure station id,Departure station name,Return station id,Return station name,Covered distance (m),Duration (sec.),departure_time_2
0,2019-06-30 04:59:19,103,Vihdintie,101.0,Munkkivuoren ostoskeskus,788.0,226,2019-06-30 04:55:28
1,2019-06-30 04:58:18,40,Hakaniemi (M),122.0,Lintulahdenkatu,0.0,245,2019-06-30 04:54:09
2,2019-06-30 04:52:04,6,Hietalahdentori,6.0,Hietalahdentori,0.0,19,2019-06-30 04:51:38
3,2019-06-30 04:52:37,6,Hietalahdentori,6.0,Hietalahdentori,1.0,84,2019-06-30 04:51:11
4,2019-06-30 04:58:45,37,Töölönkatu,77.0,Nordenskiöldinaukio,1057.0,500,2019-06-30 04:50:20
5,2019-06-30 04:59:02,555,Kalevalantie,505.0,Westendinasema,2344.0,602,2019-06-30 04:48:56
6,2019-06-30 04:55:18,625,Suomenlahdentie,611.0,Matinkartanontie,1119.0,373,2019-06-30 04:48:54
7,2019-06-30 04:53:40,216,Jännetie,209.0,Takomotie,2525.0,303,2019-06-30 04:48:34
8,2019-06-30 04:53:27,515,Oravannahkatori,509.0,Revontulentie,1008.0,297,2019-06-30 04:48:27
9,2019-06-30 04:54:09,41,Ympyrätalo,76.0,Olympiastadion,1724.0,361,2019-06-30 04:48:06
10,2019-06-30 04:58:41,274,Voikukantie,270.0,Tulisuontie,2178.0,700,2019-06-30 04:46:56
11,2019-06-30 04:57:07,274,Voikukantie,270.0,Tulisuontie,2227.0,612,2019-06-30 04:46:54
12,2019-06-30 04:47:15,24,Mannerheimintie,24.0,Mannerheimintie,12.0,37,2019-06-30 04:46:33
13,2019-06-30 04:54:22,129,Pernajantie,137.0,Arabian kauppakeskus,1394.0,486,2019-06-30 04:46:13
14,2019-06-30 04:50:00,82,Töölöntulli,82.0,Töölöntulli,394.0,232,2019-06-30 04:46:03
15,2019-06-30 04:57:05,253,Tammisalon aukio,263.0,Herttoniemen kirkko,2623.0,666,2019-06-30 04:45:54
16,2019-06-30 04:53:51,121,Vilhonvuorenkatu,134.0,Haukilahdenkatu,1711.0,474,2019-06-30 04:45:52
17,2019-06-30 04:56:07,42,Haapaniemenkatu,27.0,Eerikinkatu,2536.0,633,2019-06-30 04:45:29
18,2019-06-30 04:48:40,26,Kamppi (M),26.0,Kamppi (M),87.0,212,2019-06-30 04:45:03
